time,pm10,pm2_5,nitrogen_dioxide,ozone,carbon_monoxide
2026-08-11 00:00:00,77.1,77.1,54.1,18.0,2124.0
2026-08-11 01:00:00,71.2,71.2,53.1,12.0,1778.0
2026-08-11 02:00:00,67.3,67.1,51.4,5.0,1693.0
2026-08-11 03:00:00,67.1,66.6,48.9,1.0,1710.0
2026-08-11 04:00:00,70.8,69.8,45.5,3.0,1641.0
2026-08-11 05:00:00,75.4,74.5,41.2,14.0,1366.0
2026-08-11 06:00:00,78.9,78.0,36.1,33.0,1005.0
2026-08-11 07:00:00,40.4,39.2,28.1,59.0,727.0
2026-08-11 08:00:00,23.5,22.9,21.8,96.0,617.0
2026-08-11 09:00:00,17.9,17.9,13.2,146.0,590.0
2026-08-11 10:00:00,17.1,17.0,6.6,182.0,559.0
2026-08-11 11:00:00,16.3,16.2,4.0,190.0,484.0
2026-08-11 12:00:00,15.9,15.8,3.5,184.0,404.0
2026-08-11 13:00:00,15.9,15.8,3.6,178.0,353.0
2026-08-11 14:00:00,16.2,16.1,2.9,180.0,311.0
2026-08-11 15:00:00,17.9,17.7,2.8,183.0,299.0
2026-08-11 16:00:00,20.6,20.5,5.8,178.0,406.0
2026-08-11 17:00:00,26.4,26.3,15.0,161.0,772.0
2026-08-11 18:00:00,37.5,37.4,27.2,137.0,1257.0
2026-08-11 19:00:00,37.4,37.3,29.5,104.0,1542.0
2026-08-11 20:00:00,46.0,45.9,33.1,85.0,1429.0
2026-08-11 21:00:00,47.3,46.9,38.0,58.0,1114.0
2026-08-11 22:00:00,50.8,50.2,41.9,36.0,867.0
2026-08-11 23:00:00,51.5,51.0,43.8,24.0,795.0
2026-08-12 00:00:00,52.2,51.7,44.6,16.0,790.0
2026-08-12 01:00:00,53.2,52.7,44.6,11.0,801.0
2026-08-12 02:00:00,53.3,52.5,43.9,5.0,804.0
2026-08-12 03:00:00,53.4,52.7,42.4,2.0,822.0
2026-08-12 04:00:00,56.0,55.3,40.0,5.0,870.0
2026-08-12 05:00:00,59.1,58.4,36.6,18.0,991.0
2026-08-12 06:00:00,60.3,59.5,32.3,38.0,1142.0
2026-08-12 07:00:00,47.6,46.0,26.6,54.0,1207.0
2026-08-12 08:00:00,31.1,30.2,20.5,79.0,1116.0
2026-08-12 09:00:00,18.7,18.5,12.2,115.0,939.0
2026-08-12 10:00:00,11.9,11.8,5.9,144.0,767.0
2026-08-12 11:00:00,10.4,10.4,3.6,160.0,614.0
2026-08-12 12:00:00,10.8,10.8,3.3,169.0,467.0
2026-08-12 13:00:00,11.3,11.3,3.7,176.0,377.0
2026-08-12 14:00:00,12.2,12.2,3.5,184.0,381.0
2026-08-12 15:00:00,13.1,13.1,4.0,188.0,442.0
2026-08-12 16:00:00,15.2,15.1,7.3,183.0,508.0
2026-08-12 17:00:00,19.0,19.0,16.5,161.0,560.0
2026-08-12 18:00:00,25.9,25.9,28.5,129.0,617.0
2026-08-12 19:00:00,36.2,36.2,36.7,100.0,681.0
2026-08-12 20:00:00,37.4,37.1,36.5,78.0,762.0
2026-08-12 21:00:00,28.6,28.5,32.5,59.0,850.0
2026-08-12 22:00:00,31.9,31.4,31.4,43.0,924.0
2026-08-12 23:00:00,48.3,47.5,37.7,30.0,979.0
2026-08-13 00:00:00,62.4,61.2,47.0,19.0,1019.0
2026-08-13 01:00:00,63.3,62.2,52.8,11.0,1033.0
2026-08-13 02:00:00,68.2,67.3,52.2,5.0,995.0
2026-08-13 03:00:00,69.6,68.7,48.2,2.0,930.0
2026-08-13 04:00:00,67.3,66.6,43.4,5.0,912.0
2026-08-13 05:00:00,62.2,61.5,38.7,16.0,1014.0
2026-08-13 06:00:00,59.4,58.8,33.3,32.0,1161.0
2026-08-13 07:00:00,45.4,44.4,27.3,53.0,1201.0
2026-08-13 08:00:00,24.2,23.4,19.8,79.0,1025.0
2026-08-13 09:00:00,16.9,16.7,11.8,108.0,741.0
2026-08-13 10:00:00,15.3,15.1,5.9,135.0,520.0
2026-08-13 11:00:00,15.3,15.2,3.7,158.0,424.0
2026-08-13 12:00:00,16.0,15.9,3.7,178.0,390.0
2026-08-13 13:00:00,16.8,16.7,4.3,192.0,399.0
2026-08-13 14:00:00,17.5,17.3,4.2,201.0,457.0
2026-08-13 15:00:00,18.4,17.9,4.7,203.0,557.0
2026-08-13 16:00:00,20.8,20.1,7.9,197.0,661.0
2026-08-13 17:00:00,28.3,27.5,15.1,178.0,758.0
2026-08-13 18:00:00,35.3,34.5,24.9,150.0,860.0
2026-08-13 19:00:00,42.6,42.1,35.4,121.0,962.0
2026-08-13 20:00:00,57.7,57.4,46.5,92.0,1070.0
2026-08-13 21:00:00,75.9,75.4,58.1,62.0,1179.0
2026-08-13 22:00:00,89.9,89.6,68.5,37.0,1272.0
2026-08-13 23:00:00,102.2,101.5,77.4,20.0,1343.0
2026-08-14 00:00:00,113.6,112.2,85.0,8.0,1398.0
2026-08-14 01:00:00,124.3,122.0,89.6,0.0,1434.0
2026-08-14 02:00:00,131.3,127.6,90.1,0.0,1447.0
2026-08-14 03:00:00,130.9,127.1,87.7,0.0,1442.0
2026-08-14 04:00:00,136.0,132.2,83.5,0.0,1430.0
2026-08-14 05:00:00,140.6,139.7,78.3,4.0,1425.0
2026-08-14 06:00:00,135.5,134.6,71.5,12.0,1413.0
2026-08-14 07:00:00,127.6,126.7,62.1,33.0,1363.0
2026-08-14 08:00:00,94.3,93.6,47.7,78.0,1242.0
2026-08-14 09:00:00,64.3,64.0,30.8,138.0,1083.0
2026-08-14 10:00:00,50.6,50.3,17.8,190.0,951.0
2026-08-14 11:00:00,50.3,49.9,11.6,229.0,858.0
2026-08-14 12:00:00,52.5,52.0,9.3,261.0,792.0
2026-08-14 13:00:00,57.0,56.5,8.3,286.0,781.0
2026-08-14 14:00:00,61.2,60.5,7.7,306.0,814.0
2026-08-14 15:00:00,62.9,62.2,8.3,319.0,903.0
2026-08-14 16:00:00,65.9,65.2,10.2,313.0,1112.0
2026-08-14 17:00:00,66.8,65.9,14.3,274.0,1517.0
2026-08-14 18:00:00,71.5,70.5,19.6,216.0,2043.0
2026-08-14 19:00:00,62.4,61.7,23.4,170.0,2527.0
2026-08-14 20:00:00,48.4,47.6,24.1,149.0,2978.0
2026-08-14 21:00:00,46.0,45.1,23.2,139.0,3387.0
2026-08-14 22:00:00,50.8,49.8,23.3,131.0,3571.0
2026-08-14 23:00:00,59.3,58.4,25.4,122.0,3373.0
2026-08-15 00:00:00,70.8,69.8,28.4,114.0,2951.0
2026-08-15 01:00:00,78.7,77.8,31.0,105.0,2589.0
2026-08-15 02:00:00,81.3,80.3,32.9,93.0,2413.0
2026-08-15 03:00:00,88.5,87.5,34.5,81.0,2298.0
2026-08-15 04:00:00,96.4,95.5,35.7,72.0,2156.0
2026-08-15 05:00:00,102.7,101.7,37.2,65.0,1939.0
2026-08-15 06:00:00,112.2,111.3,38.3,63.0,1696.0
2026-08-15 07:00:00,99.2,98.3,36.3,74.0,1485.0
2026-08-15 08:00:00,78.2,77.3,28.3,112.0,1329.0
2026-08-15 09:00:00,56.9,56.0,17.3,164.0,1205.0
2026-08-15 10:00:00,44.4,43.5,8.8,204.0,1099.0
2026-08-15 11:00:00,37.5,36.8,5.4,219.0,1006.0
2026-08-15 12:00:00,34.1,33.4,4.6,222.0,931.0
2026-08-15 13:00:00,32.8,32.2,5.0,222.0,878.0
2026-08-15 14:00:00,35.5,34.9,6.3,226.0,842.0
2026-08-15 15:00:00,40.7,40.2,8.7,229.0,828.0
2026-08-15 16:00:00,45.2,44.7,11.9,220.0,860.0
2026-08-15 17:00:00,42.0,41.6,16.1,192.0,964.0
2026-08-15 18:00:00,43.0,42.5,21.0,153.0,1113.0
2026-08-15 19:00:00,47.5,47.1,25.2,120.0,1252.0
2026-08-15 20:00:00,53.7,53.2,27.8,101.0,1374.0
2026-08-15 21:00:00,58.6,58.1,29.7,88.0,1485.0
2026-08-15 22:00:00,58.1,57.7,32.0,77.0,1545.0
2026-08-15 23:00:00,64.0,63.6,35.4,67.0,1523.0
2026-08-16 00:00:00,77.5,77.3,39.3,59.0,1450.0
2026-08-16 01:00:00,90.6,90.1,42.5,52.0,1380.0
2026-08-16 02:00:00,101.0,100.6,45.0,43.0,1331.0
2026-08-16 03:00:00,106.4,106.2,46.8,35.0,1286.0
2026-08-16 04:00:00,111.5,111.3,47.1,32.0,1246.0
2026-08-16 05:00:00,115.3,115.0,45.9,35.0,1206.0
2026-08-16 06:00:00,120.6,120.1,43.3,43.0,1172.0
2026-08-16 07:00:00,110.6,110.4,38.2,59.0,1136.0
2026-08-16 08:00:00,79.2,78.9,28.6,89.0,1032.5
2026-08-16 09:00:00,55.6,55.4,16.6,128.0,814.3
2026-08-16 10:00:00,36.4,36.2,7.6,161.0,538.0
2026-08-16 11:00:00,29.7,29.6,4.1,186.0,474.0
2026-08-16 12:00:00,30.4,30.3,3.7,207.0,461.0
2026-08-16 13:00:00,33.3,33.1,4.5,218.0,465.0
2026-08-16 14:00:00,36.6,36.4,6.0,220.0,480.0
2026-08-16 15:00:00,40.9,40.6,8.8,212.0,512.0
2026-08-16 16:00:00,44.4,44.2,12.6,196.0,549.0
2026-08-16 17:00:00,40.7,40.6,17.6,165.0,585.0
2026-08-16 18:00:00,41.2,41.1,23.7,124.0,625.0
2026-08-16 19:00:00,51.5,51.3,29.5,90.0,676.0
2026-08-16 20:00:00,57.3,57.2,35.0,68.0,741.0
2026-08-16 21:00:00,65.2,65.2,40.3,52.0,816.0
2026-08-16 22:00:00,77.8,77.5,44.7,40.0,892.0
2026-08-16 23:00:00,88.0,88.0,48.2,33.0,974.0
